listing_id,id,date,reviewer_id,reviewer_name,comments,langs,dict_proportion
11551,30672,2010-03-21,93896,Shar-Lyn,"The flat was bright, comfortable and clean and Adriano was pleasant and gracious about accommodating us at the last minute. The Brixton tube was a very short walk away and there were plenty of buses. There are lots of fast food restaurants, banks, and shops along the main street.",en,0.07954545454545454
11551,32236,2010-03-29,97890,Zane,We stayed with Adriano and Valerio for a week when first moving to London. The apartment is great and very clean compared to a lot of places we've seen in London. Situated very close to Brixton tube and good bus links to central London. Thanks guys!,en,0.04564315352697095
11551,41044,2010-05-09,104133,Chase,"Adriano was a fantastic host. We felt very at home while staying there. Our first morning we woke up and saw the dining table set for breakfast which was much appreciated. His flat is conveniently located a block from the tube station, with a number of shops and restaurants in the area as well. His place was very clean and tidy, overall just a fantastic experience. ",en,0.059322033898305086
11551,48926,2010-06-01,122714,John & Sylvia,We had a most wonderful stay with Adriano and Valerio.  They are both interesting and interested hosts who serve a delicious cappuccino with breakfast in the morninig.  Their place is small but clean and comfy.  Central London is a short bus or tube ride ... very convenient.  We look forward to returning to London and staying with them again.  ,en,0.04833836858006042
11551,58352,2010-06-28,111543,Monique,"  I'm not sure which of us misunderstood the situation, but I was not aware that Adriano and his cousin would be in residence...I thought I was renting the apartment to myself. Nonetheless, he was a very gracious host. The neighborhood is not a good one, and anyone renting here should be aware of that. I would not walk in that area at night under any circumstances. The apartment is spotlessly clean though. ",en,0.041025641025641026
11551,63238,2010-07-10,100872,Sarah,"This is a great place to stay! Adriano and Valerio are wonderful hosts, super friendly, welcoming, and respectful. Valerio is the perfect guy to talk to and make you feel welcome in a warm home environment.
The bedroom is very comfortable, my mom and I stayed with them for a few days and felt like home. The bathroom and flat were very clean :) The location has close access to the tube station and many buses, food stores, and ATMs.
Valerio kindly prepared coffee and set breakfast for us every day :)
Adriano is very knowledgeable of the city and places you should visit and ways to get there. He advised us on places to go, sights, and everything.
Thanks for being so nice guys! If I ever go back to London this will definitely be the place I hope to stay.",en,0.06344827586206897
11551,66216,2010-07-18,165158,Nino,"5***** Stars for Adriano & Valerio
If you are looking for a nice, cosy and super clean room in London, you will be happy to stay at Adrianos and Valerios place. The both are friendly and welcoming hosts. They serve you a good breakfast with italian cappuccino in the morning. And if you are interested you can also have a nice discussion with Adriano and learn a lot about European culture and history. Thanks again for that!:) We just stayed one night at their appartment, but if we come back we will definitely try to stay at this place.
Thanks again and best regards from Cologne
// Steffi & Nino",en,0.03125
11551,79600,2010-08-16,190950,Giuseppina,"the place is in a quiet side road, very convenient (a 2 minute slow walk) to the tube on Victoria line. The room is a bit small but very comfortable, clean and well organized, including wireless internet! The bathroom is spacious and clean.  Adriano is a wonderful host, very kind and ready to help. Also he prepares a fantastic cappuccino at breakfast!
My daughter and I felt this was a great place, we stayed there 3 nights and felt safe and welcomed.  We warmly recommend Adriano's place. Grazie Adriano e ciao!
Giusi & Elena ",en,0.0650887573964497
11551,89501,2010-09-03,156663,Duane,The room was as shown. Didn't have access to the living room much. I'd pick another place to stay closer to downtown I think next time. London was a great experience.,en,0.07006369426751592
11551,97222,2010-09-14,217139,Sten J. McNeil,"I had a great stay with Adriano! He was very friendly, knowledgeable and helpful. The flat was clean, and the room was very nice. The area/neighbourhood is very multicultural - making it interesting yet safe. I had no problems going there alone at night, and neither should anyone else, provided they don't mind the smells and sounds from the big Afro-Caribbean community - which is far more exciting than the blandness of the regular tourist places. ",en,0.06060606060606061
11551,97898,2010-09-15,224093,Melissa,"adriano is a sweet and totally gentle guy. his house is tiny, but SUPER clean and cozy--he keeps his bathroom cleaner than any hotel i have ever been in! the bed is very comfortable with a really nice comforter, his cappuccino is excellent, and the conversation is interesting and friendly. the house is all the way at the end of the victoria line, but it's a really easy ride from central london and only a two block walk from the tube stop. he really goes out of his way to make you feel welcome and comfortable. i would stay there again, without hesitation. ",en,0.06642066420664207
11551,103444,2010-09-23,215682,Travis & Sandra,"We stayed with Adriano for 5 nights on our visit to London.  His apartment is small but spotless and the bed in the bedroom you stay in is comfortable, perfect for two people (and our backpacks!). 

We didn't spend a lot of time at the apartment, but Adriano was a great, friendly host with fantastic recommendations on the area and even set out breakfast and made us cappuccino the first morning of our stay! 

The apartment is three blocks from the Brixton tube station, about 10 minutes into the city center by train so the location was great.  Brixton itself is a lively neighborhood with an outdoor market, a movie theatre and a few pubs close to the apartment. 

 
If you are looking only for a bedroom to crash, and a clean, safe and centrally located place to stay while in London, I'd highly recommend staying with Adriano!",en,0.05919395465994962
11551,112151,2010-10-05,213327,Victoria,"Staying with Adriano & Valerio was a plasure, I felt just like at home. Adriano is a very intereting man to have a conversation with, exchane expiriences and opinions. He keeps the apratment very clean with an unbelievable amount of fresh clean towles.
The location is within 2-3 min walk from a tube station, many bus lines & many many shops of all kinds.
I enjoyed my stay very much and very likely to stay with them again on my next trip to London.",en,0.05069124423963134
11551,123531,2010-10-20,256327,Gregor,"Clean, tidy, close to the underground and bus. Adriano is friendly and trustful. I had a good time.",en,0.07446808510638298
11551,126745,2010-10-25,250752,Chiara,"If you want a cheap and super clean accomodation in London you should book your room at Adriano's place.
Adriano is extremely friendly and he put me at ease since I arrived at his flat.
I enjoyed so much his neighborhood, Brixton is amazing and I don't share the opinion of Monique that said it's not a good one.
Probably she didn't like the multicultural aspect of Brixton, while I chose that district intentionally.
As other people wrote Adriano's flat is really close to Brixton Tube Station and there are many bus connections through useful stops and to the City (some of them operate a 24h service)
If you're planning to spend few days in London don't hesitate to contact Adriano!


",en,0.046686746987951805
11551,140790,2010-11-17,257563,Guillermo,"This was my first stop in an ""All-AirBNB"" Trip and let me tell you that it was a great place to start. Adriano was not only helpful but he offers a beautiful room with all the amenities you'll need if you're traveling to London.

Location is key and he's right next to the Brixton Station which means that in about 20 minutes or so you can be anywhere you want to be. Beware though that the London Underground is undergoing construction on the weekends and some lines are shut down, nothing that a little bit of planning can solve.

The bed was comfortable, warm and I slept like a baby. Everything was spotless and I couldn't have felt more safe and secure. I'd stay there any time.

Three cheers to Adriano and his beautiful London Flat.

G",en,0.04107648725212465
11551,143793,2010-11-23,289681,Berit,"Super perfect 5 star place to stay. 

Clean and tidy flatt with a real good feeling to it and privacy. Adriano made me feel very safe and welcome.

The flat is only 5 minutes walking distance to the Brixton underground so it was real easy for me to get to my destinations rather quickly.

Thank you Adriano you made my stay extra nice.

All the best, Berit Reaver
",en,0.04871060171919771
11551,193057,2011-03-06,276159,Elsa,"My boyfriend and I just came back from London where we stayed a couple of days at Adriano's place.
We really enjoyed this experience!
First of all, the house is located in zone 2,  2 mins walk to Brixton tube station (victoria line) and buses to the city centre 24/24 which is very practical. There is everything one need in the area: shops, bars, restaurants, supermarkets.
Then, the house is as shown, our bedroom was cozy and absolutely comfy, and we really appreciated that everything was tidy and super clean including the bathroom which is very important. Moreover, the area was quiet and we slept very well :)
Adriano was so nice and gentle, it was a pleasure to stay at his place. He welcomed us and made us feel home right away. He is a very friendly person and we appreciated nice and interesting conversations with him!
We will definitely go back to his place for our next trip to London and we obviously highly recommend everyone to go to Adriano's.
Thank you so much, we had an amazing stay!
",en,0.055381400208986416
11551,228327,2011-04-16,176390,Roland,"Adriano was a thoughtful host, offering touristic suggestions as well as a splendid cappuccino. The room's easy proximity to the Brixton tube station is a plus.  It was a friendly and hassle-free stay.",en,0.0425531914893617
11551,245212,2011-04-30,427435,Norma,"This place was perfect to stay in London. Very near the tube, very clean and tidy. Adriano is a very nice guy, polite, clever and very helpful with us. Valerio is also a very ice room mate. Definitely recommended
",en,0.04926108374384237
11551,267182,2011-05-17,439603,Peder & Molly,The host canceled my reservation 4 days before arrival.,en,0.03773584905660377
11551,269284,2011-05-18,478786,Alessio,"Adriano has many good reviews,so i m gonna  to say same things that other people already said.Adriano is a very good host,friendly,he has a great sense of hospitality.Very nice home,clean and bright,close to Underground station.5 Stars!",en,0.05405405405405406
11551,287134,2011-05-29,537259,Donna,Adriano was quick to help me rent on a couple of hours notice. Clean and lovely reception. ,en,0.05813953488372093
11551,339787,2011-06-28,524508,Jim,"Adriano was out ot town. I stayed with his cousin Valerio, who was
very nice, clean and kept the place tidy. I felt safe there. The flat is 2 minute walk to the tube station. I had a good time and would recommend Adriano's flat to Airbnb travellers.",en,0.06722689075630252
11551,352195,2011-07-04,592407,Antony J,"I spent 2 nights at Adriano's flat and enjoyed my experience there very much.  Adriano and his cousin Val were friendly, pleasant and easy to get along with. The flat and my room were both very clean, tidy and organised, yet I also felt very much at home too.  The neighbourhood was interesting and colourful; and I really enjoyed walking along the street - the vibe was fantastic!  I had a wonderful experience staying at A's flat.  Antony :)",en,0.052256532066508314
11551,358355,2011-07-07,550031,Desley,"We really enjoyed our stay with Adriano. He is a great host, very welcoming, thoughtful and molto simpatico. We felt very much at home staying in his cosy apartment.

His apartment is also in a good position for visitors to London, close to a variety of shops, to buses and the tube station. Brixton Market and the Village have great food and are fun to explore.

We definitely hope to be returning to stay with Adriano when we are next in London.",en,0.04176334106728538
11551,363263,2011-07-09,780069,Takayuki A.,"Andriano is a great host. Very sociable, nice and friendly talks. the Flat is clean, very clean. Bed is confortable and bathroom, very clean one, is quite big. The place is very close to Brixton tube and it's really convenient to get to central London. ",en,0.06666666666666667
11551,374839,2011-07-15,722255,Heath,"My stay with Adriano, at his bright London flat, was my first through airbnb and it couldn't have been better! I stayed for four nights and will recommend this place to my friends. The flat is well connected with public transport and there are nice places to eat and drink nearby. Brixton/Lambeth are safe and pleasant areas. 
The flat itself is very comfortable and cleaner than many hostels and hotels I've stayed in during my travels through Europe. The bed is comfortable and warm, and the bathroom adequate and large. 
Both Adriano and Valerio are genuinely kind and caring people and we had some interesting conversations together. Adriano's experience in the hospitality industry shines through in his home and in his service. He even put me in contact with another host when my other accommodation plans fell through later in the week. Although it was not at all Adriano's problem he went out of his way to find me a place. 

Thank you Adriano!",en,0.05343511450381679
11551,381317,2011-07-18,779372,Thomas,"Adriano was a very friendly and helpful host. He greeted me with a short walk through Brixton and showed me around that made me feel right at home. I stayed for three nights and I spent a fantastic time in Brixton. Would definetly recommend staying there!!! 
",en,0.0321285140562249
11551,418003,2011-08-03,423465,James,"I could not have asked for a better host for my first airbnb experience and my first trip to London. Adriano is a genuinely warm, generous and welcoming host, an experienced traveler and city guide. The apartment is clean, cosy and very conveniently located to transport options. Overall, a truely lovely experience!",en,0.04560260586319218
11551,423290,2011-08-06,341351,Jason,Adriano is a great host with a lovely flat.  I wish I could've stayed longer!,en,0.0136986301369863
11551,442191,2011-08-13,318589,Anne Rose,The host is very accomodating and the place is very neat.  the location is easy access to public transportation and restaurant. ,en,0.08870967741935484
11551,480825,2011-08-28,745727,Bill,"Adiano's rented room was fine for my needs...eonomical and near a tube stop.  I especially enjoyed our conversations and views on world events.  The room is small, and the double bed was more than `I needed.  The area was quiet, with plenty of restaurants and shopping for fresh items at the local vendors.   Wifi is available at McDonalds and the local library.  It is a mixed race area, vibrant at rush hour.  I prefer accomodcations like this instead of big chain hotels.",en,0.06334841628959276
11551,514717,2011-09-08,1109988,Patrick,"Adriano's place is just a three minute walk from Brixton Tube, very tidy and comfortable too. Adriano is very helpful - he confirmed the booking within 5 minutes and gave me lots of information about what to do locally. Looking forward to staying there next time I'm in London.",en,0.05970149253731343
11551,528326,2011-09-13,803799,Antje & Harald,"We had a great stay in London at Adriano's place. His apartment is very well located though absolutely quiet. Very comfortable bed and big bathroom were ok. Adriano offered us breakfast but we picked from the great variety of the Brixton area. We would definitely book his place again! Thanks again, Adriano.",en,0.05351170568561873
11551,558465,2011-09-22,359503,Ricardo,"Adriano is like one of the London sighseeing destinations, you gotta visit, no matter how many times you have before. His flat is very well-located, a few steps from the Brixton underground station, which can take you directly on Victoria Line to anywhere you want in London in few minutes. 

Not to mention he is a friendly host who is always trying to help out and give recommendations. A very spacious and cozy bathroom with good essense smells, comfortable bed included. We ended up wandering around the city the next day, for some exhibitions due to the London Design Festival. Definitely recommended. ",en,0.04794520547945205
11551,584426,2011-09-30,1205989,Clarissa,"Hi everyone. Adriano was an amazing guest. Very nice and with tons of info. Whenever I come back to Europe I would love to stay here again. Very nice and clean sheets. Kind of small flat for an american standards but great location just couple of blocks from Brixton underground station that gats u anywhere in town. I love London and our stay. I recommend you to stay there too. Xoxo

Cissa
",en,0.0398936170212766
11551,590263,2011-10-02,849895,Derek,I stayed with Adriano for two nights to attend a concert at the Brixton Academy. The place was lovely and very clean. The private room had a large bed and more than enough room for my backpack and clothes. The apartment was very close to the Underground Tube (>5 minute walk) and the Brixton Academy (5 minute walk). Adriano was a great host and it was lovely to talk to him during the mornings and evenings. He was able to recommend some great local restaurants and things to do in town. Overall I had a great experience!,en,0.062
11551,598493,2011-10-04,955126,Fabio,"Adriano's flat is comfortable and very clean. A good bed where i slept as my home. The flat is very near the metro station. Adriano is also a good person to talk and he is very kind and helpful.
Five stars!",en,0.08585858585858586
11551,637757,2011-10-17,1188539,Robert,"Adriano's place was in a perfect location, literally 2 min walk from Brixton Tube in Zone 2. His place is super clean not only your bedroom but the entire Flat. The bed is very comfortable & he is devoted to ensuring that you have the best possible experience in his cozy Brixton flat. I have no problem in recommending you stay at Adriano's place when in London.",en,0.06779661016949153
